feature,count,mean,std,min,25%,50%,75%,max
mfcc_d2_5_std,720.0,2.4852420925,0.4116057821012237,1.6014158,2.2316725,2.4398741,2.6921865499999997,3.7139895
mfcc_d2_6_std,720.0,1.9602782384722224,0.24000151549277354,1.3049358,1.7865279,1.9540913500000001,2.1068105249999998,2.973817
mfcc_d2_7_std,720.0,1.8061822916666668,0.2433256174910513,1.1908,1.6414612499999999,1.7928017,1.987932775,2.4417157
mfcc_d2_8_std,720.0,1.7529818294444444,0.2597002638497793,1.2404374,1.553138625,1.7082556,1.9523272,2.7468982
mfcc_d2_9_std,720.0,1.566430985972222,0.2073138071801765,1.0117328,1.419695,1.54396925,1.70283925,2.2732644
mfcc_d2_10_std,720.0,1.456256027638889,0.19108365568375846,1.0844285,1.312726425,1.4273166000000002,1.57753215,2.0532916
mfcc_d2_11_std,720.0,1.3063359366527778,0.1807441834590064,0.90342444,1.18661205,1.28192655,1.4024545000000002,1.9521492
mfcc_d2_12_std,720.0,1.255617097138889,0.14688432468370444,0.8574238,1.168931725,1.26248805,1.3607636,1.6642313
mfcc_d2_13_std,720.0,1.1187836846249999,0.12485503274757807,0.7756196,1.050981125,1.1100851999999999,1.167387875,1.7726998
mfcc_d2_14_std,720.0,1.109564613138889,0.14926404120326822,0.69218796,1.03409975,1.1232301,1.2021342000000002,1.5418258
mfcc_d2_15_std,720.0,1.043066506986111,0.15393898005480536,0.657571,0.9450287825,1.02827855,1.150813125,1.5597981
mfcc_d2_16_std,720.0,0.9659287269722221,0.11284131153070752,0.65043145,0.8846677000000001,0.964640425,1.0341637000000001,1.3818054
mfcc_d2_17_std,720.0,0.9420390498611111,0.11630721803240761,0.62864476,0.86327539,0.933166925,1.0071799000000001,1.3431801
mfcc_d2_18_std,720.0,0.9165338045833332,0.12063789638135439,0.6226985,0.8325075875,0.89959178,0.9939612950000001,1.2744017
mfcc_d2_19_std,720.0,0.9219331765833333,0.1419136869747689,0.5827413,0.8404591,0.918624,1.011707075,1.3821759
mfcc_d2_20_std,720.0,0.8916029170972223,0.16434661894096594,0.54114753,0.7800094625,0.868090305,0.9998103199999999,1.3925562
zcr_mean,720.0,0.1198476835222222,0.02871478148383009,0.016153157,0.1029029725,0.1165279125,0.1374891575,0.22279662
zcr_std,720.0,0.1161599777611111,0.030347817652584198,0.011276964,0.09718605875,0.1143042425,0.1326135775,0.21204333
centroid_mean,720.0,1684.2488248333334,286.7225490602605,717.10114,1507.612575,1664.40785,1848.80125,2480.3223
centroid_std,720.0,1082.0196681944444,249.22221889313153,450.6682,938.755735,1057.0418,1190.811075,1848.3384
rolloff_mean,720.0,3234.926240138889,526.5787576400726,1322.4,2912.9521250000003,3187.8785,3551.566825,4547.111
rolloff_std,720.0,1811.738180875,338.01664382563814,927.8313,1638.3735,1806.0616,1949.711475,2697.2002
bandwidth_mean,720.0,1626.1417739583335,177.09072347325747,974.13074,1490.355075,1659.3820500000002,1757.868175,1955.8712
bandwidth_std,720.0,503.5726809861111,95.34724140875998,285.59525,432.12861999999996,486.081785,585.1734875,728.2931
flatness_mean,720.0,0.048839549283125006,0.03817674857836495,0.00026917615,0.018055328750000002,0.0345313185,0.07534464375,0.22045213
flatness_std,720.0,0.11074017353522222,0.08618135556797413,0.000494292,0.045547444500000006,0.075228882,0.163025465,0.40060714
rms_mean,720.0,0.06378906238194444,0.03320210330353205,0.014098779,0.0491568105,0.061821656,0.07069843449999999,0.2736693
rms_std,720.0,0.04667161009708334,0.020313898293773714,0.0048293686,0.03317677925,0.0456411805,0.05637174625,0.14806634
duration_sec,720.0,63.18570859375,55.21679345683108,39.0008125,58.0,60.684687499999995,63.907328125,1534.2498125
